product_id,product_name,category,price
PROD_001,Multi-lateral regional capacity,Electronics,220.16
PROD_002,Down-sized stable flexibility,Electronics,110.99
PROD_003,Distributed stable moratorium,Beauty,413.56
PROD_004,Business-focused holistic definition,Clothing,26.86
PROD_005,Object-based discrete support,Beauty,170.61
PROD_006,De-engineered zero-defect functionalities,Clothing,476.68
PROD_007,Quality-focused multi-tasking capacity,Home & Kitchen,31.83
PROD_008,Ameliorated hybrid frame,Clothing,305.56
PROD_009,Multi-channeled asynchronous product,Beauty,216.42
PROD_010,Switchable mobile Internet solution,Home & Kitchen,233.85
PROD_011,Multi-channeled user-facing open system,Home & Kitchen,334.3
PROD_012,Mandatory heuristic instruction set,Clothing,233.89
PROD_013,Object-based full-range customer loyalty,Clothing,485.0
PROD_014,Managed holistic benchmark,Beauty,31.69
PROD_015,Multi-channeled zero administration monitoring,Electronics,125.47
PROD_016,Enterprise-wide multi-state support,Clothing,471.09
PROD_017,Horizontal dedicated extranet,Home & Kitchen,272.81
PROD_018,Realigned global solution,Clothing,164.04
PROD_019,Persistent content-based product,Beauty,223.66
PROD_020,Inverse transitional solution,Electronics,329.96
PROD_021,Stand-alone upward-trending Graphic Interface,Home & Kitchen,423.59
PROD_022,Horizontal fault-tolerant array,Clothing,422.67
PROD_023,Programmable client-driven database,Beauty,126.8
PROD_024,Operative interactive functionalities,Electronics,253.34
PROD_025,Persistent real-time conglomeration,Electronics,271.41
PROD_026,Adaptive solution-oriented application,Electronics,83.35
PROD_027,Innovative regional installation,Home & Kitchen,457.35
PROD_028,Visionary fault-tolerant implementation,Clothing,65.33
PROD_029,Robust composite knowledge user,Electronics,226.36
PROD_030,Horizontal bifurcated time-frame,Clothing,474.37
PROD_031,Re-engineered static software,Beauty,485.54
PROD_032,Re-contextualized asynchronous firmware,Beauty,130.29
PROD_033,Managed web-enabled neural-net,Home & Kitchen,80.32
PROD_034,De-engineered exuding database,Clothing,433.79
PROD_035,Automated discrete emulation,Home & Kitchen,233.31
PROD_036,Quality-focused modular customer loyalty,Clothing,333.61
PROD_037,Open-architected solution-oriented implementation,Clothing,390.98
PROD_038,Persistent web-enabled paradigm,Beauty,388.7
PROD_039,Ameliorated methodical interface,Home & Kitchen,223.01
PROD_040,Re-contextualized mission-critical neural-net,Electronics,276.98
PROD_041,Polarized stable monitoring,Electronics,172.51
PROD_042,Networked foreground architecture,Home & Kitchen,128.89
PROD_043,Profound asynchronous middleware,Home & Kitchen,229.55
PROD_044,Organized multi-state superstructure,Clothing,201.39
PROD_045,Organized radical firmware,Beauty,339.94
PROD_046,Centralized full-range frame,Clothing,370.8
PROD_047,Re-engineered static approach,Home & Kitchen,264.85
PROD_048,Seamless 5thgeneration definition,Beauty,40.76
PROD_049,Centralized discrete Graphic Interface,Beauty,340.4
PROD_050,Profit-focused non-volatile system engine,Beauty,76.52
