product_id_x,product_id_y,recommendation_strength
PROD_001,PROD_011,1
PROD_001,PROD_013,1
PROD_001,PROD_019,1
PROD_001,PROD_024,1
PROD_001,PROD_045,1
PROD_002,PROD_032,2
PROD_002,PROD_020,1
PROD_002,PROD_025,1
PROD_002,PROD_043,1
PROD_003,PROD_024,1
PROD_003,PROD_037,1
PROD_005,PROD_015,1
PROD_005,PROD_023,1
PROD_005,PROD_028,1
PROD_005,PROD_034,1
PROD_006,PROD_026,1
PROD_007,PROD_016,1
PROD_007,PROD_049,1
PROD_009,PROD_021,1
PROD_009,PROD_023,1
PROD_009,PROD_030,1
PROD_009,PROD_035,1
PROD_009,PROD_040,1
PROD_009,PROD_041,1
PROD_009,PROD_042,1
PROD_009,PROD_044,1
PROD_009,PROD_045,1
PROD_010,PROD_029,1
PROD_011,PROD_001,1
PROD_011,PROD_013,1
PROD_011,PROD_024,1
PROD_011,PROD_045,1
PROD_011,PROD_049,1
PROD_012,PROD_029,1
PROD_013,PROD_001,1
PROD_013,PROD_011,1
PROD_013,PROD_024,1
PROD_013,PROD_029,1
PROD_013,PROD_034,1
PROD_013,PROD_045,1
PROD_015,PROD_005,1
PROD_015,PROD_034,1
PROD_015,PROD_035,1
PROD_016,PROD_007,1
PROD_018,PROD_020,1
PROD_018,PROD_021,1
PROD_018,PROD_036,1
PROD_018,PROD_042,1
PROD_019,PROD_001,1
PROD_020,PROD_032,2
PROD_020,PROD_002,1
PROD_020,PROD_018,1
PROD_020,PROD_021,1
PROD_020,PROD_023,1
PROD_020,PROD_027,1
PROD_020,PROD_035,1
PROD_020,PROD_036,1
PROD_020,PROD_037,1
PROD_020,PROD_043,1
PROD_020,PROD_049,1
PROD_021,PROD_009,1
PROD_021,PROD_018,1
PROD_021,PROD_020,1
PROD_021,PROD_034,1
PROD_022,PROD_026,1
PROD_022,PROD_028,1
PROD_022,PROD_040,1
PROD_023,PROD_005,1
PROD_023,PROD_009,1
PROD_023,PROD_020,1
PROD_023,PROD_040,1
PROD_023,PROD_049,1
PROD_024,PROD_001,1
PROD_024,PROD_003,1
PROD_024,PROD_011,1
PROD_024,PROD_013,1
PROD_024,PROD_038,1
PROD_024,PROD_045,1
PROD_024,PROD_049,1
PROD_025,PROD_002,1
PROD_026,PROD_006,1
PROD_026,PROD_022,1
PROD_027,PROD_020,1
PROD_028,PROD_005,1
PROD_028,PROD_022,1
PROD_029,PROD_010,1
PROD_029,PROD_012,1
PROD_029,PROD_013,1
PROD_030,PROD_045,2
PROD_030,PROD_009,1
PROD_030,PROD_039,1
PROD_032,PROD_002,2
PROD_032,PROD_020,2
PROD_032,PROD_043,2
PROD_034,PROD_005,1
PROD_034,PROD_013,1
PROD_034,PROD_015,1
PROD_034,PROD_021,1
PROD_035,PROD_009,1
PROD_035,PROD_015,1
PROD_035,PROD_020,1
PROD_035,PROD_042,1
PROD_036,PROD_018,1
PROD_036,PROD_020,1
PROD_037,PROD_003,1
PROD_037,PROD_020,1
PROD_038,PROD_024,1
PROD_038,PROD_045,1
PROD_039,PROD_030,1
PROD_040,PROD_009,1
PROD_040,PROD_022,1
PROD_040,PROD_023,1
PROD_040,PROD_044,1
PROD_041,PROD_009,1
PROD_041,PROD_045,1
PROD_042,PROD_009,1
PROD_042,PROD_018,1
PROD_042,PROD_035,1
PROD_042,PROD_045,1
PROD_043,PROD_032,2
PROD_043,PROD_002,1
PROD_043,PROD_020,1
PROD_044,PROD_009,1
PROD_044,PROD_040,1
PROD_044,PROD_047,1
PROD_045,PROD_030,2
PROD_045,PROD_001,1
PROD_045,PROD_009,1
PROD_045,PROD_011,1
PROD_045,PROD_013,1
PROD_045,PROD_024,1
PROD_045,PROD_038,1
PROD_045,PROD_041,1
PROD_045,PROD_042,1
PROD_045,PROD_049,1
PROD_045,PROD_050,1
PROD_047,PROD_044,1
PROD_049,PROD_007,1
PROD_049,PROD_011,1
PROD_049,PROD_020,1
PROD_049,PROD_023,1
PROD_049,PROD_024,1
PROD_049,PROD_045,1
PROD_050,PROD_045,1
